id,position,rank,base,acclimatization,duty_time,rest_time,tacc_week,tacc_month,tacc_year,cpm_deadhead,cpm_reserve,specs
WEQEASXJ,MRS,CP,ORY,MRS,0,1200,0,0,0,27,48,AirbusSmall
WPJYABSZ,MRS,FO,ORY,MRS,0,1200,0,0,0,23,47,AirbusSmall
XFZIOLXB,MRS,CSD,ORY,MRS,0,1200,0,0,0,28,47,AirbusSmall
QFCGFKNU,MRS,CSD,ORY,MRS,0,1200,0,0,0,28,58,AirbusSmall
YMNBIYUF,MRS,ST,ORY,MRS,0,1200,0,0,0,23,50,AirbusSmall
PHQJVNIO,MRS,ST,ORY,MRS,0,1200,0,0,0,23,47,AirbusSmall
IKKEUEBU,MRS,ST,ORY,MRS,0,1200,0,0,0,27,45,AirbusSmall
QMQJFMER,MRS,ST,ORY,MRS,0,1200,0,0,0,28,50,AirbusSmall
PRZCTIOA,MRS,ST,ORY,MRS,0,1200,0,0,0,21,53,AirbusSmall
MKJNKCCJ,MRS,ST,ORY,MRS,0,1200,0,0,0,27,49,AirbusSmall
NXBTUOFR,BES,CP,SXB,BES,0,1200,0,0,0,26,53,BAE
YZXMVXLL,BES,FO,SXB,BES,0,1200,0,0,0,26,54,BAE
URFKGCDW,BES,CS,SXB,BES,0,1200,0,0,0,27,55,BAE
CKXQMGCR,BES,ST,SXB,BES,0,1200,0,0,0,21,49,BAE
UGNMJWPO,BES,ST,SXB,BES,0,1200,0,0,0,23,55,BAE
RGQCUFJE,BES,ST,SXB,BES,0,1200,0,0,0,21,55,BAE
VSHIMZDR,BOD,CP,ORY,BOD,0,1200,0,0,0,21,48,AirbusSmall
XZBGDFNF,BOD,FO,ORY,BOD,0,1200,0,0,0,26,57,AirbusSmall
VYXBSZVB,BOD,CSD,ORY,BOD,0,1200,0,0,0,20,59,AirbusSmall
QWNVMFHV,BOD,CSD,ORY,BOD,0,1200,0,0,0,29,47,AirbusSmall
DLOXWVCT,BOD,ST,ORY,BOD,0,1200,0,0,0,22,54,AirbusSmall
HQIFFZRU,BOD,ST,ORY,BOD,0,1200,0,0,0,27,47,AirbusSmall
LVGFQUAK,BOD,ST,ORY,BOD,0,1200,0,0,0,21,52,AirbusSmall
VQBORCPO,BOD,ST,ORY,BOD,0,1200,0,0,0,27,44,AirbusSmall
GGZEIYOA,BOD,ST,ORY,BOD,0,1200,0,0,0,23,56,AirbusSmall
QPLOWSCB,BOD,ST,ORY,BOD,0,1200,0,0,0,20,49,AirbusSmall
MJOFJSBV,SXB,CP,TLS,SXB,0,1200,0,0,0,25,45,ERJ
UPBUTQHN,SXB,FO,TLS,SXB,0,1200,0,0,0,24,59,ERJ
MSCWOKBQ,SXB,CSD,TLS,SXB,0,1200,0,0,0,23,57,ERJ
IMOBFWLT,SXB,ST,TLS,SXB,0,1200,0,0,0,25,44,ERJ
YPYPPBYU,SXB,ST,TLS,SXB,0,1200,0,0,0,25,57,ERJ
DHCWJMSU,TLS,CP,MRS,TLS,0,1200,0,0,0,22,50,AirbusSmall
QTUIQFMZ,TLS,FO,MRS,TLS,0,1200,0,0,0,20,48,AirbusSmall
UNTBRVDA,TLS,CSD,MRS,TLS,0,1200,0,0,0,28,48,AirbusSmall
QUBSFAIQ,TLS,CSD,MRS,TLS,0,1200,0,0,0,25,48,AirbusSmall
BDPLSNKT,TLS,ST,MRS,TLS,0,1200,0,0,0,20,52,AirbusSmall
NMYBZZQT,TLS,ST,MRS,TLS,0,1200,0,0,0,28,40,AirbusSmall
BZJJFCYU,TLS,ST,MRS,TLS,0,1200,0,0,0,20,43,AirbusSmall
QMAPEZUJ,TLS,ST,MRS,TLS,0,1200,0,0,0,21,49,AirbusSmall
DGMKENVN,TLS,ST,MRS,TLS,0,1200,0,0,0,28,55,AirbusSmall
QPPGXQLZ,TLS,ST,MRS,TLS,0,1200,0,0,0,22,54,AirbusSmall
QZAXDEFZ,CTA,CP,CTA,CTA,0,1200,0,0,0,21,57,AirbusSmall
HDFZJKRX,CTA,FO,CTA,CTA,0,1200,0,0,0,24,43,AirbusSmall
KMDRAIUF,CTA,CSD,CTA,CTA,0,1200,0,0,0,25,50,AirbusSmall
WVHMSBEP,CTA,CSD,CTA,CTA,0,1200,0,0,0,28,46,AirbusSmall
ETNLDKEC,CTA,ST,CTA,CTA,0,1200,0,0,0,25,43,AirbusSmall
AEHCJPKJ,CTA,ST,CTA,CTA,0,1200,0,0,0,28,40,AirbusSmall
RSCYRRBK,CTA,ST,CTA,CTA,0,1200,0,0,0,26,40,AirbusSmall
WXMNSHLP,CTA,ST,CTA,CTA,0,1200,0,0,0,26,58,AirbusSmall
IZVYVIDR,CTA,ST,CTA,CTA,0,1200,0,0,0,22,55,AirbusSmall
EYUMVKRI,CTA,ST,CTA,CTA,0,1200,0,0,0,28,47,AirbusSmall
KEFYFNLP,PMO,CP,MXP,PMO,0,1200,0,0,0,24,45,AirbusSmall
TTPDMKFP,PMO,FO,MXP,PMO,0,1200,0,0,0,29,56,AirbusSmall
LPSRVIXT,PMO,CSD,MXP,PMO,0,1200,0,0,0,20,44,AirbusSmall
VBQNEOCI,PMO,CSD,MXP,PMO,0,1200,0,0,0,23,48,AirbusSmall
KYTSCTMF,PMO,ST,MXP,PMO,0,1200,0,0,0,24,47,AirbusSmall
DJRTKJMO,PMO,ST,MXP,PMO,0,1200,0,0,0,22,52,AirbusSmall
TXKKGGCQ,PMO,ST,MXP,PMO,0,1200,0,0,0,20,43,AirbusSmall
DGMSTSOQ,PMO,ST,MXP,PMO,0,1200,0,0,0,24,42,AirbusSmall
ADEVNGXY,PMO,ST,MXP,PMO,0,1200,0,0,0,27,50,AirbusSmall
TJUMKUBE,PMO,ST,MXP,PMO,0,1200,0,0,0,28,53,AirbusSmall
BIJINEUK,ORY,CP,ORY,ORY,0,1200,0,0,0,23,45,AirbusSmall
RYOVKJFE,ORY,FO,ORY,ORY,0,1200,0,0,0,27,48,AirbusSmall
YBMKVBUU,ORY,CSD,ORY,ORY,0,1200,0,0,0,28,46,AirbusSmall
SDKJOMOH,ORY,CSD,ORY,ORY,0,1200,0,0,0,25,48,AirbusSmall
RQSLTMGA,ORY,ST,ORY,ORY,0,1200,0,0,0,20,40,AirbusSmall
IRRCMJBM,ORY,ST,ORY,ORY,0,1200,0,0,0,29,59,AirbusSmall
TKEQYMCC,ORY,ST,ORY,ORY,0,1200,0,0,0,21,44,AirbusSmall
WHXYMWFL,ORY,ST,ORY,ORY,0,1200,0,0,0,20,51,AirbusSmall
GBCDGTTR,ORY,ST,ORY,ORY,0,1200,0,0,0,21,48,AirbusSmall
