crew_id,leg_id,rank,start,finish,airport,pairing
WEQEASXJ,10005581,CP,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
WEQEASXJ,10005782,CP,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
WEQEASXJ,10005787,CP,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
WPJYABSZ,10005581,FO,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
WPJYABSZ,10005782,FO,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
WPJYABSZ,10005787,FO,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
XFZIOLXB,10005581,CSD,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
XFZIOLXB,10005782,CSD,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
XFZIOLXB,10005787,CSD,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
QFCGFKNU,10005581,CSD,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
QFCGFKNU,10005782,CSD,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
QFCGFKNU,10005787,CSD,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
YMNBIYUF,10005581,ST,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
YMNBIYUF,10005782,ST,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
YMNBIYUF,10005787,ST,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
PHQJVNIO,10005581,ST,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
PHQJVNIO,10005782,ST,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
PHQJVNIO,10005787,ST,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
IKKEUEBU,10005581,ST,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
IKKEUEBU,10005782,ST,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
IKKEUEBU,10005787,ST,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
QMQJFMER,10005581,ST,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
QMQJFMER,10005782,ST,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
QMQJFMER,10005787,ST,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
PRZCTIOA,10005581,ST,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
PRZCTIOA,10005782,ST,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
PRZCTIOA,10005787,ST,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
MKJNKCCJ,10005581,ST,2008-03-01T04:00,2008-03-01T06:20,MRS,550240392
MKJNKCCJ,10005782,ST,2008-03-01T07:00,2008-03-01T08:20,ORY,550240392
MKJNKCCJ,10005787,ST,2008-03-01T09:05,2008-03-01T11:15,NCE,550240392
NXBTUOFR,10005251,CP,2008-03-01T04:00,2008-03-01T05:45,BES,830250430
NXBTUOFR,10005351,CP,2008-03-01T06:15,2008-03-01T08:20,NTE,830250430
YZXMVXLL,10005251,FO,2008-03-01T04:00,2008-03-01T05:45,BES,830250430
YZXMVXLL,10005351,FO,2008-03-01T06:15,2008-03-01T08:20,NTE,830250430
URFKGCDW,10005251,CS,2008-03-01T04:00,2008-03-01T05:45,BES,830250430
URFKGCDW,10005351,CS,2008-03-01T06:15,2008-03-01T08:20,NTE,830250430
CKXQMGCR,10005251,ST,2008-03-01T04:00,2008-03-01T05:45,BES,830250430
CKXQMGCR,10005351,ST,2008-03-01T06:15,2008-03-01T08:20,NTE,830250430
UGNMJWPO,10005251,ST,2008-03-01T04:00,2008-03-01T05:45,BES,830250430
UGNMJWPO,10005351,ST,2008-03-01T06:15,2008-03-01T08:20,NTE,830250430
RGQCUFJE,10005251,ST,2008-03-01T04:00,2008-03-01T05:45,BES,830250430
