leg_id,flight_id,date,aircraft,from,to,start,finish,crew_group_id
10001,1,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T00:00,2008-03-01T00:30,
10002,2,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T00:20,2008-03-01T00:50,
10003,3,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T00:40,2008-03-01T01:10,
10004,4,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T01:00,2008-03-01T01:30,
10005,5,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T01:20,2008-03-01T01:50,
10006,6,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T01:40,2008-03-01T02:10,
10007,7,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T02:00,2008-03-01T02:30,
10008,8,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T02:20,2008-03-01T02:50,
10009,9,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T02:40,2008-03-01T03:10,
100010,10,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T03:00,2008-03-01T03:30,
100011,11,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T03:20,2008-03-01T03:50,
100012,12,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T03:40,2008-03-01T04:10,
100013,13,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T04:00,2008-03-01T04:30,
100014,14,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T04:20,2008-03-01T04:50,
100015,15,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T04:40,2008-03-01T05:10,
100016,16,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T05:00,2008-03-01T05:30,
100017,17,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T05:20,2008-03-01T05:50,
100018,18,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T05:40,2008-03-01T06:10,
100019,19,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T06:00,2008-03-01T06:30,
100020,20,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T06:20,2008-03-01T06:50,
100021,21,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T06:40,2008-03-01T07:10,
100022,22,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T07:00,2008-03-01T07:30,
100023,23,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T07:20,2008-03-01T07:50,
100024,24,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T07:40,2008-03-01T08:10,
100025,25,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T08:00,2008-03-01T08:30,
100026,26,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T08:20,2008-03-01T08:50,
100027,27,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T08:40,2008-03-01T09:10,
100028,28,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T09:00,2008-03-01T09:30,
100029,29,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T09:20,2008-03-01T09:50,
100030,30,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T09:40,2008-03-01T10:10,
100031,31,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T10:00,2008-03-01T10:30,
100032,32,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T10:20,2008-03-01T10:50,
100033,33,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T10:40,2008-03-01T11:10,
100034,34,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T11:00,2008-03-01T11:30,
100035,35,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T11:20,2008-03-01T11:50,
100036,36,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T11:40,2008-03-01T12:10,
100037,37,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T12:00,2008-03-01T12:30,
100038,38,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T12:20,2008-03-01T12:50,
100039,39,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T12:40,2008-03-01T13:10,
100040,40,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T13:00,2008-03-01T13:30,
100041,41,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T13:20,2008-03-01T13:50,
100042,42,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T13:40,2008-03-01T14:10,
100043,43,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T14:00,2008-03-01T14:30,
100044,44,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T14:20,2008-03-01T14:50,
100045,45,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T14:40,2008-03-01T15:10,
100046,46,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T15:00,2008-03-01T15:30,
100047,47,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T15:20,2008-03-01T15:50,
100048,48,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T15:40,2008-03-01T16:10,
100049,49,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T16:00,2008-03-01T16:30,
100050,50,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T16:20,2008-03-01T16:50,
100051,51,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T16:40,2008-03-01T17:10,
100052,52,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T17:00,2008-03-01T17:30,
100053,53,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T17:20,2008-03-01T17:50,
100054,54,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T17:40,2008-03-01T18:10,
100055,55,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T18:00,2008-03-01T18:30,
100056,56,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T18:20,2008-03-01T18:50,
100057,57,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T18:40,2008-03-01T19:10,
100058,58,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T19:00,2008-03-01T19:30,
100059,59,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T19:20,2008-03-01T19:50,
100060,60,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T19:40,2008-03-01T20:10,
100061,61,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T20:00,2008-03-01T20:30,
100062,62,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T20:20,2008-03-01T20:50,
100063,63,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T20:40,2008-03-01T21:10,
100064,64,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T21:00,2008-03-01T21:30,
100065,65,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T21:20,2008-03-01T21:50,
100066,66,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T21:40,2008-03-01T22:10,
100067,67,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T22:00,2008-03-01T22:30,
100068,68,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T22:20,2008-03-01T22:50,
100069,69,2008-03-01,TranspCom#1,CDG,ORY,2008-03-01T22:40,2008-03-01T23:10,
100070,70,2008-03-01,TranspCom#2,CDG,ORY,2008-03-01T23:00,2008-03-01T23:30,
100071,71,2008-03-01,TranspCom#3,CDG,ORY,2008-03-01T23:20,2008-03-01T23:50,
100072,72,2008-03-01,TranspCom#4,CDG,ORY,2008-03-01T23:40,2008-03-02T00:10,
100073,73,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T00:00,2008-03-01T00:30,
100074,74,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T00:20,2008-03-01T00:50,
100075,75,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T00:40,2008-03-01T01:10,
100076,76,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T01:00,2008-03-01T01:30,
100077,77,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T01:20,2008-03-01T01:50,
100078,78,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T01:40,2008-03-01T02:10,
100079,79,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T02:00,2008-03-01T02:30,
100080,80,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T02:20,2008-03-01T02:50,
100081,81,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T02:40,2008-03-01T03:10,
100082,82,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T03:00,2008-03-01T03:30,
100083,83,2008-03-01,TranspCom#1,ORY,CDG,2008-03-01T03:20,2008-03-01T03:50,
100084,84,2008-03-01,TranspCom#2,ORY,CDG,2008-03-01T03:40,2008-03-01T04:10,
100085,85,2008-03-01,TranspCom#3,ORY,CDG,2008-03-01T04:00,2008-03-01T04:30,
100086,86,2008-03-01,TranspCom#4,ORY,CDG,2008-03-01T04:20,2008-03-01T04:50,
