id,airport,start,finish,capacity,type,misuse_penalty
1,AJA,2008-03-01T05:00,2008-03-01T06:00,1,t,0
2,AJA,2008-03-01T06:00,2008-03-01T07:00,2,t,0
3,AJA,2008-03-01T08:00,2008-03-01T09:00,1,l,0
4,AJA,2008-03-01T09:00,2008-03-01T10:00,1,t,0
5,AJA,2008-03-01T10:00,2008-03-01T11:00,1,t,0
6,AJA,2008-03-01T09:00,2008-03-01T10:00,1,l,0
7,AJA,2008-03-01T10:00,2008-03-01T11:00,1,l,0
8,AJA,2008-03-01T11:00,2008-03-01T12:00,1,t,9000
9,AJA,2008-03-01T13:00,2008-03-01T14:00,1,t,0
10,AJA,2008-03-01T13:00,2008-03-01T14:00,3,l,0
11,AJA,2008-03-01T14:00,2008-03-01T15:00,1,t,0
12,AJA,2008-03-01T14:00,2008-03-01T15:00,1,l,0
13,AJA,2008-03-01T15:00,2008-03-01T16:00,1,t,0
14,AJA,2008-03-01T17:00,2008-03-01T18:00,2,t,0
15,AJA,2008-03-01T17:00,2008-03-01T18:00,1,l,0
16,AJA,2008-03-01T18:00,2008-03-01T19:00,1,t,0
17,AJA,2008-03-01T20:00,2008-03-01T21:00,1,l,0
18,AJA,2008-03-01T21:00,2008-03-01T22:00,2,l,0
19,AMS,2008-03-01T05:00,2008-03-01T06:00,1,t,0
20,AMS,2008-03-01T06:00,2008-03-01T07:00,1,t,0
21,AMS,2008-03-01T07:00,2008-03-01T08:00,2,t,0
22,AMS,2008-03-01T07:00,2008-03-01T08:00,6,l,0
23,AMS,2008-03-01T08:00,2008-03-01T09:00,4,t,0
24,AMS,2008-03-01T08:00,2008-03-01T09:00,3,l,0
25,AMS,2008-03-01T09:00,2008-03-01T10:00,3,t,0
26,AMS,2008-03-01T09:00,2008-03-01T10:00,2,l,4000
27,AMS,2008-03-01T10:00,2008-03-01T11:00,2,t,0
28,AMS,2008-03-01T10:00,2008-03-01T11:00,4,l,0
29,AMS,2008-03-01T11:00,2008-03-01T12:00,1,l,0
30,AMS,2008-03-01T12:00,2008-03-01T13:00,4,t,0
31,AMS,2008-03-01T12:00,2008-03-01T13:00,1,l,4000
32,AMS,2008-03-01T13:00,2008-03-01T14:00,2,t,0
33,AMS,2008-03-01T13:00,2008-03-01T14:00,3,l,0
34,AMS,2008-03-01T14:00,2008-03-01T15:00,1,t,0
35,AMS,2008-03-01T14:00,2008-03-01T15:00,2,l,0
36,AMS,2008-03-01T15:00,2008-03-01T16:00,2,t,3000
37,AMS,2008-03-01T15:00,2008-03-01T16:00,2,l,0
38,AMS,2008-03-01T16:00,2008-03-01T17:00,2,t,0
39,AMS,2008-03-01T17:00,2008-03-01T18:00,1,t,0
40,AMS,2008-03-01T17:00,2008-03-01T18:00,5,l,0
41,AMS,2008-03-01T18:00,2008-03-01T19:00,4,t,0
42,AMS,2008-03-01T18:00,2008-03-01T19:00,5,l,0
43,AMS,2008-03-01T19:00,2008-03-01T20:00,3,t,3000
44,AMS,2008-03-01T19:00,2008-03-01T20:00,1,l,0
45,AMS,2008-03-01T21:00,2008-03-01T22:00,1,l,0
46,BCN,2008-03-01T05:00,2008-03-01T06:00,1,t,0
47,BCN,2008-03-01T06:00,2008-03-01T07:00,3,t,0
48,BCN,2008-03-01T07:00,2008-03-01T08:00,1,l,0
49,BCN,2008-03-01T08:00,2008-03-01T09:00,1,t,0
50,BCN,2008-03-01T08:00,2008-03-01T09:00,3,l,0
51,BCN,2008-03-01T09:00,2008-03-01T10:00,2,t,0
52,BCN,2008-03-01T09:00,2008-03-01T10:00,1,l,0
53,BCN,2008-03-01T10:00,2008-03-01T11:00,1,t,0
54,BCN,2008-03-01T11:00,2008-03-01T12:00,1,t,4000
55,BCN,2008-03-01T10:00,2008-03-01T11:00,1,l,0
56,BCN,2008-03-01T11:00,2008-03-01T12:00,1,l,0
57,BCN,2008-03-01T12:00,2008-03-01T13:00,2,t,0
58,BCN,2008-03-01T13:00,2008-03-01T14:00,1,l,0
59,BCN,2008-03-01T14:00,2008-03-01T15:00,1,t,0
60,BCN,2008-03-01T15:00,2008-03-01T16:00,2,l,0
61,BCN,2008-03-01T16:00,2008-03-01T17:00,2,t,0
62,BCN,2008-03-01T16:00,2008-03-01T17:00,2,l,0
63,BCN,2008-03-01T17:00,2008-03-01T18:00,1,t,0
64,BCN,2008-03-01T18:00,2008-03-01T19:00,1,t,0
65,BCN,2008-03-01T19:00,2008-03-01T20:00,1,t,6000
66,BCN,2008-03-01T17:00,2008-03-01T18:00,1,l,0
67,BCN,2008-03-01T18:00,2008-03-01T19:00,1,l,0
68,BCN,2008-03-01T19:00,2008-03-01T20:00,1,l,0
69,BCN,2008-03-01T20:00,2008-03-01T21:00,2,l,3000
70,BCN,2008-03-01T21:00,2008-03-01T22:00,1,l,0
71,BES,2008-03-01T05:00,2008-03-01T06:00,4,t,0
72,BES,2008-03-01T06:00,2008-03-01T07:00,1,t,0
73,BES,2008-03-01T07:00,2008-03-01T08:00,1,l,7000
74,BES,2008-03-01T08:00,2008-03-01T09:00,1,t,7000
75,BES,2008-03-01T09:00,2008-03-01T10:00,2,l,0
76,BES,2008-03-01T10:00,2008-03-01T11:00,1,t,0
77,BES,2008-03-01T10:00,2008-03-01T11:00,1,l,0
78,BES,2008-03-01T11:00,2008-03-01T12:00,2,l,0
79,BES,2008-03-01T12:00,2008-03-01T13:00,3,t,0
80,BES,2008-03-01T12:00,2008-03-01T13:00,2,l,0
81,BES,2008-03-01T13:00,2008-03-01T14:00,2,t,3000
82,BES,2008-03-01T13:00,2008-03-01T14:00,1,l,0
83,BES,2008-03-01T14:00,2008-03-01T15:00,1,l,0
84,BES,2008-03-01T15:00,2008-03-01T16:00,1,l,0
85,BES,2008-03-01T16:00,2008-03-01T17:00,3,t,0
86,BES,2008-03-01T16:00,2008-03-01T17:00,3,l,0
87,BES,2008-03-01T17:00,2008-03-01T18:00,1,t,0
88,BES,2008-03-01T19:00,2008-03-01T20:00,1,t,0
89,BES,2008-03-01T19:00,2008-03-01T20:00,1,l,0
90,BES,2008-03-01T20:00,2008-03-01T21:00,1,l,0
91,BES,2008-03-01T21:00,2008-03-01T22:00,2,l,0
92,BES,2008-03-01T22:00,2008-03-01T23:00,1,l,0
93,BEY,2008-03-01T06:00,2008-03-01T07:00,1,t,0
94,BEY,2008-03-01T07:00,2008-03-01T08:00,1,t,0
95,BEY,2008-03-01T11:00,2008-03-01T12:00,1,l,0
96,BEY,2008-03-01T12:00,2008-03-01T13:00,1,l,0
97,BEY,2008-03-01T13:00,2008-03-01T14:00,1,t,0
98,BEY,2008-03-01T17:00,2008-03-01T18:00,1,l,0
99,BIA,2008-03-01T05:00,2008-03-01T06:00,1,t,0
100,BIA,2008-03-01T06:00,2008-03-01T07:00,3,t,0
101,BIA,2008-03-01T07:00,2008-03-01T08:00,1,t,0
102,BIA,2008-03-01T08:00,2008-03-01T09:00,2,l,0
103,BIA,2008-03-01T09:00,2008-03-01T10:00,1,l,0
104,BIA,2008-03-01T10:00,2008-03-01T11:00,2,t,0
105,BIA,2008-03-01T10:00,2008-03-01T11:00,1,l,0
106,BIA,2008-03-01T11:00,2008-03-01T12:00,2,t,0
107,BIA,2008-03-01T13:00,2008-03-01T14:00,1,t,0
108,BIA,2008-03-01T13:00,2008-03-01T14:00,2,l,0
109,BIA,2008-03-01T14:00,2008-03-01T15:00,1,t,0
110,BIA,2008-03-01T14:00,2008-03-01T15:00,1,l,0
111,BIA,2008-03-01T15:00,2008-03-01T16:00,1,l,0
112,BIA,2008-03-01T16:00,2008-03-01T17:00,1,l,0
113,BIA,2008-03-01T17:00,2008-03-01T18:00,2,t,0
114,BIA,2008-03-01T17:00,2008-03-01T18:00,1,l,0
115,BIA,2008-03-01T18:00,2008-03-01T19:00,1,t,0
116,BIA,2008-03-01T20:00,2008-03-01T21:00,1,l,0
117,BIA,2008-03-01T21:00,2008-03-01T22:00,2,l,0
118,BIQ,2008-03-01T05:00,2008-03-01T06:00,2,t,0
119,BIQ,2008-03-01T06:00,2008-03-01T07:00,1,t,0
120,BIQ,2008-03-01T07:00,2008-03-01T08:00,1,t,0
121,BIQ,2008-03-01T08:00,2008-03-01T09:00,1,t,0
122,BIQ,2008-03-01T07:00,2008-03-01T08:00,1,l,0
123,BIQ,2008-03-01T08:00,2008-03-01T09:00,1,l,0
124,BIQ,2008-03-01T09:00,2008-03-01T10:00,1,l,0
