crew_id,DUB,SXB,VCE,VIE
WEQEASXJ,1,1,1,1
WPJYABSZ,1,1,1,1
XFZIOLXB,1,1,1,1
QFCGFKNU,1,1,1,1
YMNBIYUF,1,1,1,1
PHQJVNIO,1,1,1,1
IKKEUEBU,1,1,1,1
QMQJFMER,1,1,1,1
PRZCTIOA,1,1,1,1
MKJNKCCJ,1,1,1,1
NXBTUOFR,1,1,1,1
YZXMVXLL,1,1,1,1
URFKGCDW,1,1,1,1
CKXQMGCR,1,1,1,1
UGNMJWPO,1,1,1,1
RGQCUFJE,1,1,1,1
VSHIMZDR,1,1,1,1
XZBGDFNF,1,1,1,1
VYXBSZVB,1,1,1,1
QWNVMFHV,1,1,1,1
DLOXWVCT,1,1,1,1
HQIFFZRU,1,1,1,1
LVGFQUAK,1,1,1,1
VQBORCPO,1,1,1,1
GGZEIYOA,1,1,1,1
QPLOWSCB,1,1,1,1
MJOFJSBV,1,1,1,1
UPBUTQHN,1,1,1,1
MSCWOKBQ,1,1,1,1
IMOBFWLT,1,1,1,1
YPYPPBYU,1,1,1,1
DHCWJMSU,1,1,1,1
QTUIQFMZ,1,1,1,1
UNTBRVDA,1,1,1,1
QUBSFAIQ,1,1,1,1
BDPLSNKT,1,1,1,1
NMYBZZQT,1,1,1,1
BZJJFCYU,1,1,1,1
QMAPEZUJ,1,1,1,1
DGMKENVN,1,1,1,1
QPPGXQLZ,1,1,1,1
QZAXDEFZ,1,1,1,1
HDFZJKRX,1,1,1,1
KMDRAIUF,1,1,1,1
WVHMSBEP,1,1,1,1
ETNLDKEC,1,1,1,1
AEHCJPKJ,1,1,1,1
RSCYRRBK,1,1,1,1
WXMNSHLP,1,1,1,1
IZVYVIDR,1,1,1,1
EYUMVKRI,1,1,1,1
KEFYFNLP,1,1,1,1
TTPDMKFP,1,1,1,1
LPSRVIXT,1,1,1,1
VBQNEOCI,1,1,1,1
KYTSCTMF,1,1,1,1
DJRTKJMO,1,1,1,1
TXKKGGCQ,1,1,1,1
DGMSTSOQ,1,1,1,1
ADEVNGXY,1,1,1,1
TJUMKUBE,1,1,1,1
BIJINEUK,1,1,1,1
RYOVKJFE,1,1,1,1
YBMKVBUU,1,1,1,1
SDKJOMOH,1,1,1,1
RQSLTMGA,1,1,1,1
IRRCMJBM,1,1,1,1
TKEQYMCC,1,1,1,1
WHXYMWFL,1,1,1,1
GBCDGTTR,1,1,1,1
NHHGNWWQ,1,1,1,1
MIKQFATP,1,1,1,1
BLNFUDOV,1,1,1,1
REIKHKLD,1,1,1,1
NMPIDUJE,1,1,1,1
IJNQSIXU,1,1,1,1
UFRZIMMY,1,1,1,1
UUJEVTYB,1,1,1,1
VMKOBPHF,1,1,1,1
MDPBEKDH,1,1,1,1
EIYYEKRR,1,1,1,1
EBRZOYUS,1,1,1,1
WSDNLAZC,1,1,1,1
VZDSUPNJ,1,1,1,1
KOFWQWGW,1,1,1,1
KYCZUBVO,1,1,1,1
PPGWLNJJ,1,1,1,1
QJAAFQEF,1,1,1,1
AMLGGMYP,1,1,1,1
XSSIPTQL,1,1,1,1
GEXJYOLW,1,1,1,1
TRAFWJDB,1,1,1,1
WZRMJTEE,1,1,1,1
PPBSALQA,1,1,1,1
