airport,incomming,outgoing,changing_comp,min_con_time
CDG,D,D,0,25
CDG,D,D,1,30
CDG,D,C,0,25
CDG,D,C,1,30
CDG,D,I,0,30
CDG,D,I,1,35
CDG,C,D,0,25
CDG,C,D,1,30
CDG,C,C,0,25
CDG,C,C,1,30
CDG,C,I,0,30
CDG,C,I,1,35
CDG,I,D,0,30
CDG,I,D,1,35
CDG,I,C,0,30
CDG,I,C,1,35
CDG,I,I,0,30
CDG,I,I,1,35
NCE,D,D,0,25
NCE,D,D,1,30
NCE,D,C,0,25
NCE,D,C,1,30
NCE,D,I,0,30
NCE,D,I,1,35
NCE,C,D,0,25
NCE,C,D,1,30
NCE,C,C,0,25
NCE,C,C,1,30
NCE,C,I,0,30
NCE,C,I,1,35
NCE,I,D,0,30
NCE,I,D,1,35
NCE,I,C,0,30
NCE,I,C,1,35
NCE,I,I,0,30
NCE,I,I,1,35
ORY,D,D,0,25
ORY,D,D,1,30
ORY,D,C,0,25
ORY,D,C,1,30
ORY,D,I,0,30
ORY,D,I,1,35
ORY,C,D,0,25
ORY,C,D,1,30
ORY,C,C,0,25
ORY,C,C,1,30
ORY,C,I,0,30
ORY,C,I,1,35
ORY,I,D,0,30
ORY,I,D,1,35
ORY,I,C,0,30
ORY,I,C,1,35
ORY,I,I,0,30
ORY,I,I,1,35
TLS,D,D,0,25
TLS,D,D,1,30
TLS,D,C,0,25
TLS,D,C,1,30
TLS,D,I,0,30
TLS,D,I,1,35
TLS,C,D,0,25
TLS,C,D,1,30
TLS,C,C,0,25
TLS,C,C,1,30
TLS,C,I,0,30
TLS,C,I,1,35
TLS,I,D,0,30
TLS,I,D,1,35
TLS,I,C,0,30
TLS,I,C,1,35
TLS,I,I,0,30
TLS,I,I,1,35
